prix de la crypto : 31750.32, prix de la prédiction : 31711.125
prix crypto down : 0.022003, prix de la prédiction : 0.028289843971530598programme toujours en cour d'exécution le : dimanche 05 juin 2022 12:53:59
prix de la crypto : 29676.02, prix de la prédiction : 29622.213411458335
prix crypto up : 15.304, prix de la prédiction : 15.298539098103841
prix crypto down : 0.021942, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 12:39:00
prix de la crypto : 29679.0, prix de la prédiction : 29612.240755208335
prix crypto up : 15.335, prix de la prédiction : 15.418577321370442
prix crypto down : 0.021971, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 12:24:01
prix de la crypto : 29695.45, prix de la prédiction : 29639.12109375
prix crypto up : 15.35, prix de la prédiction : 15.314115460713705
prix crypto down : 0.021931, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 12:09:02
prix de la crypto : 29621.38, prix de la prédiction : 29527.970052083332
prix crypto up : 15.222, prix de la prédiction : 15.177441724141438
prix crypto down : 0.022087, prix de la prédiction : 0.041666258871555326programme toujours en cour d'exécution le : dimanche 05 juin 2022 11:54:02
prix de la crypto : 29648.15, prix de la prédiction : 29598.7109375
prix crypto up : 15.255, prix de la prédiction : 15.325216229756673
prix crypto down : 0.022022, prix de la prédiction : 0.038454548766215645programme toujours en cour d'exécution le : dimanche 05 juin 2022 11:39:03
prix de la crypto : 29579.19, prix de la prédiction : 29515.585677083334
prix crypto up : 15.17, prix de la prédiction : 15.206450398763021
prix crypto down : 0.022129, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 11:24:04
prix de la crypto : 29616.4, prix de la prédiction : 29533.846484375
prix crypto up : 15.22, prix de la prédiction : 15.258664067586263
prix crypto down : 0.02204, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 11:09:04
prix de la crypto : 29629.95, prix de la prédiction : 29548.233072916668
prix crypto up : 15.212, prix de la prédiction : 15.263317998250326
prix crypto down : 0.022022, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 10:54:05
prix de la crypto : 29720.34, prix de la prédiction : 29613.45390625
prix crypto up : 15.373, prix de la prédiction : 15.345396105448405
prix crypto down : 0.021869, prix de la prédiction : 0.04346200575431188programme toujours en cour d'exécution le : dimanche 05 juin 2022 10:39:06
prix de la crypto : 29729.44, prix de la prédiction : 29662.440755208332
prix crypto up : 15.372, prix de la prédiction : 15.412115033467611
prix crypto down : 0.021888, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 10:24:07
prix de la crypto : 29723.26, prix de la prédiction : 29646.7109375
prix crypto up : 15.379, prix de la prédiction : 15.407669003804525
prix crypto down : 0.021869, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 10:09:07
prix de la crypto : 29680.86, prix de la prédiction : 29592.336067708333
prix crypto up : 15.301, prix de la prédiction : 15.290960248311361
prix crypto down : 0.021933, prix de la prédiction : 0.04279583394527435programme toujours en cour d'exécution le : dimanche 05 juin 2022 09:54:08
prix de la crypto : 29751.01, prix de la prédiction : 29676.967317708335
prix crypto up : 15.416, prix de la prédiction : 15.434248860677084
prix crypto down : 0.021801, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 09:39:09
prix de la crypto : 29798.32, prix de la prédiction : 29718.773958333335
prix crypto up : 15.476, prix de la prédiction : 15.509724617004395
prix crypto down : 0.021766, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 09:24:10
prix de la crypto : 29767.17, prix de la prédiction : 29678.781770833335
prix crypto up : 15.427, prix de la prédiction : 15.45725835164388
prix crypto down : 0.02178, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 09:09:11
prix de la crypto : 29720.1, prix de la prédiction : 29651.54296875
prix crypto up : 15.352, prix de la prédiction : 15.42694943745931
prix crypto down : 0.021867, prix de la prédiction : 0.02936018519103527programme toujours en cour d'exécution le : dimanche 05 juin 2022 08:54:12
prix de la crypto : 29751.67, prix de la prédiction : 29674.273177083334
prix crypto up : 15.407, prix de la prédiction : 15.516668256123861
prix crypto down : 0.02182, prix de la prédiction : 0.04054609090089798programme toujours en cour d'exécution le : dimanche 05 juin 2022 08:39:13
prix de la crypto : 29777.62, prix de la prédiction : 29708.269661458333
prix crypto up : 15.456, prix de la prédiction : 15.569767888387045
prix crypto down : 0.021774, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 08:24:14
prix de la crypto : 29766.99, prix de la prédiction : 29687.617708333335
prix crypto up : 15.439, prix de la prédiction : 15.509471066792806
prix crypto down : 0.02182, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 08:09:15
prix de la crypto : 29789.82, prix de la prédiction : 29701.781770833335
prix crypto up : 15.456, prix de la prédiction : 15.484219678243
prix crypto down : 0.021758, prix de la prédiction : 0.037257996201515195programme toujours en cour d'exécution le : dimanche 05 juin 2022 07:54:16
prix de la crypto : 29796.39, prix de la prédiction : 29747.230208333334
prix crypto up : 15.488, prix de la prédiction : 15.530201848347982
prix crypto down : 0.02175, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 07:39:16
prix de la crypto : 29802.28, prix de la prédiction : 29747.05078125
prix crypto up : 15.494, prix de la prédiction : 15.509265836079916
prix crypto down : 0.021769, prix de la prédiction : 0.04676512132088343programme toujours en cour d'exécution le : dimanche 05 juin 2022 07:24:17
prix de la crypto : 29777.91, prix de la prédiction : 29741.0078125
prix crypto up : 15.454, prix de la prédiction : 15.499306615193685
prix crypto down : 0.021804, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 07:09:18
prix de la crypto : 29743.94, prix de la prédiction : 29665.618489583332
prix crypto up : 15.407, prix de la prédiction : 15.415656979878744
prix crypto down : 0.021857, prix de la prédiction : 0.04012673472364744programme toujours en cour d'exécution le : dimanche 05 juin 2022 06:54:19
prix de la crypto : 29744.12, prix de la prédiction : 29699.946614583332
prix crypto up : 15.405, prix de la prédiction : 15.448201115926107
prix crypto down : 0.021858, prix de la prédiction : 0.06407448053359985programme toujours en cour d'exécution le : dimanche 05 juin 2022 06:39:20
prix de la crypto : 29737.01, prix de la prédiction : 29671.511067708332
prix crypto up : 15.396, prix de la prédiction : 15.378053792317708
prix crypto down : 0.021862, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 06:24:21
prix de la crypto : 29701.99, prix de la prédiction : 29618.0078125
prix crypto up : 15.347, prix de la prédiction : 15.380368359883626
prix crypto down : 0.021927, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 06:09:22
prix de la crypto : 29715.68, prix de la prédiction : 29625.997395833332
prix crypto up : 15.374, prix de la prédiction : 15.415338452657064
prix crypto down : 0.021879, prix de la prédiction : 0.03054366782307625programme toujours en cour d'exécution le : dimanche 05 juin 2022 05:54:23
prix de la crypto : 29758.9, prix de la prédiction : 29671.638802083333
prix crypto up : 15.414, prix de la prédiction : 15.436486371358235
prix crypto down : 0.021817, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 05:39:24
prix de la crypto : 29785.0, prix de la prédiction : 29681.475911458332
prix crypto up : 15.481, prix de la prédiction : 15.527024205525716
prix crypto down : 0.021771, prix de la prédiction : 0.043782306959231694programme toujours en cour d'exécution le : dimanche 05 juin 2022 05:24:25
prix de la crypto : 29806.36, prix de la prédiction : 29726.398567708333
prix crypto up : 15.489, prix de la prédiction : 15.509200096130371
prix crypto down : 0.02177, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 05:09:25
prix de la crypto : 29770.0, prix de la prédiction : 29692.313802083332
prix crypto up : 15.434, prix de la prédiction : 15.37829984029134
prix crypto down : 0.021817, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 04:54:26
prix de la crypto : 29796.3, prix de la prédiction : 29751.975390625
prix crypto up : 15.486, prix de la prédiction : 15.508017667134602
prix crypto down : 0.021773, prix de la prédiction : 0.03505830516417821programme toujours en cour d'exécution le : dimanche 05 juin 2022 04:39:27
prix de la crypto : 29776.24, prix de la prédiction : 29710.104817708332
prix crypto up : 15.458, prix de la prédiction : 15.452646191914877
prix crypto down : 0.021794, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 04:24:27
prix de la crypto : 29785.43, prix de la prédiction : 29712.809114583335
prix crypto up : 15.453, prix de la prédiction : 15.517500813802084
prix crypto down : 0.021779, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 04:09:28
prix de la crypto : 29747.09, prix de la prédiction : 29690.622786458334
prix crypto up : 15.395, prix de la prédiction : 15.466242917378743
prix crypto down : 0.021866, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 03:54:29
prix de la crypto : 29725.25, prix de la prédiction : 29660.0390625
prix crypto up : 15.374, prix de la prédiction : 15.397385724385579
prix crypto down : 0.02189, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 03:39:30
prix de la crypto : 29716.7, prix de la prédiction : 29659.431380208334
prix crypto up : 15.334, prix de la prédiction : 15.35003178914388
prix crypto down : 0.021887, prix de la prédiction : 0.031000446528196335programme toujours en cour d'exécution le : dimanche 05 juin 2022 03:24:31
prix de la crypto : 29710.14, prix de la prédiction : 29656.794921875
prix crypto up : 15.358, prix de la prédiction : 15.403859265645345
prix crypto down : 0.021914, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 03:09:32
prix de la crypto : 29727.83, prix de la prédiction : 29637.838020833333
prix crypto up : 15.398, prix de la prédiction : 15.360438283284505
prix crypto down : 0.021921, prix de la prédiction : 0.04416082501411438programme toujours en cour d'exécution le : dimanche 05 juin 2022 02:54:33
prix de la crypto : 29770.0, prix de la prédiction : 29699.761458333334
prix crypto up : 15.481, prix de la prédiction : 15.499401982625326
prix crypto down : 0.021822, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 02:39:34
prix de la crypto : 29860.63, prix de la prédiction : 29801.565755208332
prix crypto up : 15.603, prix de la prédiction : 15.634164746602377
prix crypto down : 0.021711, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 02:24:34
prix de la crypto : 29881.99, prix de la prédiction : 29854.953645833335
prix crypto up : 15.621, prix de la prédiction : 15.716395314534505
prix crypto down : 0.021643, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 02:09:35
prix de la crypto : 29816.95, prix de la prédiction : 29754.498567708335
prix crypto up : 15.538, prix de la prédiction : 15.540386136372884
prix crypto down : 0.021746, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 01:54:36
prix de la crypto : 29838.55, prix de la prédiction : 29778.860026041668
prix crypto up : 15.567, prix de la prédiction : 15.613999303181966
prix crypto down : 0.021701, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 01:39:37
prix de la crypto : 29797.28, prix de la prédiction : 29769.04375
prix crypto up : 15.489, prix de la prédiction : 15.566521581013998
prix crypto down : 0.021774, prix de la prédiction : 0.0658324345946312programme toujours en cour d'exécution le : dimanche 05 juin 2022 01:24:37
prix de la crypto : 29776.94, prix de la prédiction : 29726.310286458334
prix crypto up : 15.463, prix de la prédiction : 15.56392281850179
prix crypto down : 0.021824, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 01:09:38
prix de la crypto : 29798.63, prix de la prédiction : 29744.8984375
prix crypto up : 15.494, prix de la prédiction : 15.594992764790852
prix crypto down : 0.021783, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 00:54:39
prix de la crypto : 29818.2, prix de la prédiction : 29749.046614583334
prix crypto up : 15.546, prix de la prédiction : 15.661251958211263
prix crypto down : 0.02174, prix de la prédiction : 0.030178187042474748programme toujours en cour d'exécution le : dimanche 05 juin 2022 00:39:40
prix de la crypto : 29811.03, prix de la prédiction : 29731.924739583334
prix crypto up : 15.488, prix de la prédiction : 15.619635518391927
prix crypto down : 0.021742, prix de la prédiction : 0.04693693493803342programme toujours en cour d'exécution le : dimanche 05 juin 2022 00:24:41
prix de la crypto : 29891.12, prix de la prédiction : 29830.470703125
prix crypto up : 15.612, prix de la prédiction : 15.705831464131673
prix crypto down : 0.021637, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 00:09:42
prix de la crypto : 29917.79, prix de la prédiction : 29838.865755208335
prix crypto up : 15.692, prix de la prédiction : 15.703445370992025
prix crypto down : 0.02155, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 23:54:43
prix de la crypto : 29805.6, prix de la prédiction : 29715.505208333332
prix crypto up : 15.511, prix de la prédiction : 15.594629224141439
prix crypto down : 0.02176, prix de la prédiction : 0.04340501800179482programme toujours en cour d'exécution le : samedi 04 juin 2022 23:39:44
prix de la crypto : 29776.64, prix de la prédiction : 29693.184895833332
prix crypto up : 15.47, prix de la prédiction : 15.481781895955404
prix crypto down : 0.021805, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 23:24:45
prix de la crypto : 29774.09, prix de la prédiction : 29712.0203125
prix crypto up : 15.468, prix de la prédiction : 15.503055572509766
prix crypto down : 0.021812, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 23:09:46
prix de la crypto : 29767.43, prix de la prédiction : 29716.537109375
prix crypto up : 15.454, prix de la prédiction : 15.503613408406576
prix crypto down : 0.021821, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 22:54:47
prix de la crypto : 29735.28, prix de la prédiction : 29671.696614583332
prix crypto up : 15.404, prix de la prédiction : 15.439475186665852
prix crypto down : 0.021917, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 22:39:48
prix de la crypto : 29733.03, prix de la prédiction : 29674.499739583334
prix crypto up : 15.402, prix de la prédiction : 15.417433675130209
prix crypto down : 0.021884, prix de la prédiction : 0.037225098659594856programme toujours en cour d'exécution le : samedi 04 juin 2022 22:24:48
prix de la crypto : 29705.24, prix de la prédiction : 29633.325520833332
prix crypto up : 15.331, prix de la prédiction : 15.408198483784993
prix crypto down : 0.021908, prix de la prédiction : 0.03747126162052154programme toujours en cour d'exécution le : samedi 04 juin 2022 22:09:49
prix de la crypto : 29689.38, prix de la prédiction : 29617.189973958335
prix crypto up : 15.318, prix de la prédiction : 15.384625562032063
prix crypto down : 0.021903, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 21:54:49
prix de la crypto : 29656.89, prix de la prédiction : 29566.182942708332
prix crypto up : 15.303, prix de la prédiction : 15.290645535786947
prix crypto down : 0.022027, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 21:39:50
prix de la crypto : 29656.37, prix de la prédiction : 29561.853515625
prix crypto up : 15.284, prix de la prédiction : 15.294463094075521
prix crypto down : 0.02201, prix de la prédiction : 0.046955024202664696programme toujours en cour d'exécution le : samedi 04 juin 2022 21:24:51
prix de la crypto : 29719.4, prix de la prédiction : 29618.718489583334
prix crypto up : 15.368, prix de la prédiction : 15.389820035298666
prix crypto down : 0.021844, prix de la prédiction : 0.03470694224039714programme toujours en cour d'exécution le : samedi 04 juin 2022 21:09:51
prix de la crypto : 29738.21, prix de la prédiction : 29665.204427083332
prix crypto up : 15.401, prix de la prédiction : 15.378115590413412
prix crypto down : 0.02182, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 20:54:51
prix de la crypto : 29781.04, prix de la prédiction : 29671.845052083332
prix crypto up : 15.458, prix de la prédiction : 15.411817677815755
prix crypto down : 0.021774, prix de la prédiction : 0.04115125238895416programme toujours en cour d'exécution le : samedi 04 juin 2022 20:39:52
prix de la crypto : 29790.37, prix de la prédiction : 29715.560807291666
prix crypto up : 15.461, prix de la prédiction : 15.427184995015462
prix crypto down : 0.021774, prix de la prédiction : 0.04489644442995389programme toujours en cour d'exécution le : samedi 04 juin 2022 20:24:53
prix de la crypto : 29770.7, prix de la prédiction : 29700.193880208335
prix crypto up : 15.46, prix de la prédiction : 15.481150563557943
prix crypto down : 0.021792, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 20:09:54
prix de la crypto : 29782.94, prix de la prédiction : 29718.493880208334
prix crypto up : 15.474, prix de la prédiction : 15.456875928243
prix crypto down : 0.0218, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 19:54:55
prix de la crypto : 29726.3, prix de la prédiction : 29682.231770833332
prix crypto up : 15.377, prix de la prédiction : 15.409416135152181
prix crypto down : 0.021861, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 19:39:56
prix de la crypto : 29702.58, prix de la prédiction : 29654.548177083332
prix crypto up : 15.353, prix de la prédiction : 15.385455067952474
prix crypto down : 0.021927, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 19:24:57
prix de la crypto : 29654.43, prix de la prédiction : 29585.419921875
prix crypto up : 15.277, prix de la prédiction : 15.30906670888265
prix crypto down : 0.022029, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 19:09:56
prix de la crypto : 29697.43, prix de la prédiction : 29623.177473958334
prix crypto up : 15.318, prix de la prédiction : 15.376489575703939
prix crypto down : 0.021979, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 18:54:57
prix de la crypto : 29765.26, prix de la prédiction : 29674.108723958332
prix crypto up : 15.433, prix de la prédiction : 15.460161145528158
prix crypto down : 0.021826, prix de la prédiction : 0.02774223412076632programme toujours en cour d'exécution le : samedi 04 juin 2022 18:39:58
prix de la crypto : 29774.97, prix de la prédiction : 29715.995442708332
prix crypto up : 15.465, prix de la prédiction : 15.555274899800619
prix crypto down : 0.021811, prix de la prédiction : 0.05594001064697902programme toujours en cour d'exécution le : samedi 04 juin 2022 18:24:59
prix de la crypto : 29780.63, prix de la prédiction : 29704.20390625
prix crypto up : 15.463, prix de la prédiction : 15.490231450398763
prix crypto down : 0.021824, prix de la prédiction : 0.03641897141933441programme toujours en cour d'exécution le : samedi 04 juin 2022 18:10:00
prix de la crypto : 29816.46, prix de la prédiction : 29740.876302083332
prix crypto up : 15.534, prix de la prédiction : 15.590215619405111
prix crypto down : 0.021736, prix de la prédiction : 0.04537655164798101programme toujours en cour d'exécution le : samedi 04 juin 2022 17:55:00
prix de la crypto : 29818.84, prix de la prédiction : 29756.277994791668
prix crypto up : 15.552, prix de la prédiction : 15.654726918538412
prix crypto down : 0.021769, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 17:40:00
prix de la crypto : 29846.61, prix de la prédiction : 29752.0703125
prix crypto up : 15.57, prix de la prédiction : 15.588234074910481
prix crypto down : 0.021685, prix de la prédiction : 0.034612205376227695programme toujours en cour d'exécution le : samedi 04 juin 2022 17:25:00
prix de la crypto : 29789.26, prix de la prédiction : 29682.33671875
prix crypto up : 15.509, prix de la prédiction : 15.535782750447591
prix crypto down : 0.021778, prix de la prédiction : 0.04119504690170288programme toujours en cour d'exécution le : samedi 04 juin 2022 17:10:01
prix de la crypto : 29819.98, prix de la prédiction : 29732.620963541667
prix crypto up : 15.543, prix de la prédiction : 15.541404660542806
prix crypto down : 0.02172, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 16:55:02
prix de la crypto : 29788.26, prix de la prédiction : 29716.011848958333
prix crypto up : 15.499, prix de la prédiction : 15.555985387166341
prix crypto down : 0.021789, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 16:40:03
prix de la crypto : 29694.92, prix de la prédiction : 29588.634895833333
prix crypto up : 15.354, prix de la prédiction : 15.383722241719564
prix crypto down : 0.02194, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 16:25:04
prix de la crypto : 29667.58, prix de la prédiction : 29571.025130208334
prix crypto up : 15.301, prix de la prédiction : 15.295010503133138
prix crypto down : 0.022004, prix de la prédiction : 0.037510637938976285programme toujours en cour d'exécution le : samedi 04 juin 2022 16:10:04
prix de la crypto : 29506.81, prix de la prédiction : 29422.839713541667
prix crypto up : 15.082, prix de la prédiction : 15.104118410746256
prix crypto down : 0.02228, prix de la prédiction : 0.03459471787015597programme toujours en cour d'exécution le : samedi 04 juin 2022 15:55:04
prix de la crypto : 29578.67, prix de la prédiction : 29470.48359375
prix crypto up : 15.158, prix de la prédiction : 15.079426701863607
prix crypto down : 0.022161, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 15:40:05
prix de la crypto : 29609.92, prix de la prédiction : 29539.314583333333
prix crypto up : 15.212, prix de la prédiction : 15.194855817159016
prix crypto down : 0.022056, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 15:25:05
prix de la crypto : 29561.0, prix de la prédiction : 29482.779427083333
prix crypto up : 15.135, prix de la prédiction : 15.119797643025716
prix crypto down : 0.022163, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 15:10:06
prix de la crypto : 29595.71, prix de la prédiction : 29507.970833333333
prix crypto up : 15.183, prix de la prédiction : 15.16735356648763
prix crypto down : 0.022156, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 14:55:07
prix de la crypto : 29551.57, prix de la prédiction : 29453.328645833335
prix crypto up : 15.101, prix de la prédiction : 15.12089246114095
prix crypto down : 0.022183, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 14:40:07
prix de la crypto : 29585.62, prix de la prédiction : 29509.798177083332
prix crypto up : 15.153, prix de la prédiction : 15.13078587849935
prix crypto down : 0.022083, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 14:25:08
prix de la crypto : 29608.55, prix de la prédiction : 29526.703515625
prix crypto up : 15.2, prix de la prédiction : 15.193229802449544
prix crypto down : 0.022032, prix de la prédiction : 0.05264447679122289programme toujours en cour d'exécution le : samedi 04 juin 2022 14:10:08
prix de la crypto : 29630.03, prix de la prédiction : 29528.3328125
prix crypto up : 15.222, prix de la prédiction : 15.24153512318929
prix crypto down : 0.022034, prix de la prédiction : 0.031111497431993484programme toujours en cour d'exécution le : samedi 04 juin 2022 13:55:08
prix de la crypto : 29650.0, prix de la prédiction : 29566.947005208334
prix crypto up : 15.285, prix de la prédiction : 15.346509869893392
prix crypto down : 0.02199, prix de la prédiction : 0.06635871728261312programme toujours en cour d'exécution le : samedi 04 juin 2022 13:40:08
prix de la crypto : 29728.08, prix de la prédiction : 29673.08671875
prix crypto up : 15.424, prix de la prédiction : 15.450713094075521
prix crypto down : 0.021841, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 13:25:09
prix de la crypto : 29701.22, prix de la prédiction : 29615.496875
prix crypto up : 15.38, prix de la prédiction : 15.380178387959798
prix crypto down : 0.02191, prix de la prédiction : 0.028802604973316194programme toujours en cour d'exécution le : samedi 04 juin 2022 13:10:10
prix de la crypto : 29742.09, prix de la prédiction : 29696.492708333335
prix crypto up : 15.453, prix de la prédiction : 15.448820241292317
prix crypto down : 0.021804, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 12:55:10
prix de la crypto : 29723.59, prix de la prédiction : 29660.450911458334
prix crypto up : 15.408, prix de la prédiction : 15.431518681844075
prix crypto down : 0.021826, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 12:40:10
prix de la crypto : 29720.2, prix de la prédiction : 29633.533333333333
prix crypto up : 15.393, prix de la prédiction : 15.360091336568196
prix crypto down : 0.021821, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 12:25:10
prix de la crypto : 29758.16, prix de la prédiction : 29725.31328125
prix crypto up : 15.46, prix de la prédiction : 15.557403500874837
prix crypto down : 0.021759, prix de la prédiction : 0.04368246098359426programme toujours en cour d'exécution le : samedi 04 juin 2022 12:10:11
prix de la crypto : 29729.7, prix de la prédiction : 29684.316145833334
prix crypto up : 15.4, prix de la prédiction : 15.516879971822103
prix crypto down : 0.0218, prix de la prédiction : 0.03507348944743474programme toujours en cour d'exécution le : samedi 04 juin 2022 11:55:11
prix de la crypto : 29718.69, prix de la prédiction : 29658.323567708332
prix crypto up : 15.372, prix de la prédiction : 15.413251813252767
prix crypto down : 0.021875, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 11:40:12
prix de la crypto : 29682.05, prix de la prédiction : 29595.10234375
prix crypto up : 15.34, prix de la prédiction : 15.290643819173177
prix crypto down : 0.021916, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 11:25:13
prix de la crypto : 29738.85, prix de la prédiction : 29665.958333333332
prix crypto up : 15.407, prix de la prédiction : 15.496565755208334
prix crypto down : 0.021825, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 11:10:13
prix de la crypto : 29750.0, prix de la prédiction : 29701.250520833335
prix crypto up : 15.418, prix de la prédiction : 15.458302434285482
prix crypto down : 0.021817, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 10:55:14
prix de la crypto : 29750.01, prix de la prédiction : 29682.435546875
prix crypto up : 15.456, prix de la prédiction : 15.59346497853597
prix crypto down : 0.021821, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 10:40:15
prix de la crypto : 29767.9, prix de la prédiction : 29685.889583333334
prix crypto up : 15.462, prix de la prédiction : 15.53911107381185
prix crypto down : 0.02178, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 10:25:16
prix de la crypto : 29749.15, prix de la prédiction : 29679.372916666667
prix crypto up : 15.45, prix de la prédiction : 15.472911961873372
prix crypto down : 0.021832, prix de la prédiction : 0.025892841319243114programme toujours en cour d'exécution le : samedi 04 juin 2022 10:10:16
prix de la crypto : 29690.0, prix de la prédiction : 29594.830598958335
prix crypto up : 15.365, prix de la prédiction : 15.360276158650716
prix crypto down : 0.021947, prix de la prédiction : 0.07216862390438715programme toujours en cour d'exécution le : samedi 04 juin 2022 09:55:16
prix de la crypto : 29696.36, prix de la prédiction : 29632.882552083334
prix crypto up : 15.376, prix de la prédiction : 15.369951184590658
prix crypto down : 0.021932, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : samedi 04 juin 2022 09:40:17
prix de la crypto : 29701.04, prix de la prédiction : 29634.709505208335
prix crypto up : 15.377, prix de la prédiction : 15.389696057637533
prix crypto down : 0.021907, prix de la prédiction : 0.037473840018113456programme toujours en cour d'exécution le : samedi 04 juin 2022 09:25:18
